名簿番号,今は何班(はん)ですか,Aの数字は？,Bの数字は？,Cの数字は？,Dの数字は？,Eの数字は？,Fの数字は？,Gの数字は？,Hの数字は？,チームでやってみたいこと,前のほうがいいですか,"（答えたい人だけ）この人といっしょだったら,遊んじゃいそうだから,いっしょはダメ…という人がいれば教えてくださいみょうじを書いてください"
1,5,6,7,7,7,8,8,8,8,リーダーをがんばってみようかな,はい！！目のかんけいで…,17
2,7,5,4,6,4,4,5,6,7,サブリーダーをがんばってみようかな,あの、目のかんけいではないけど、できれば前がいいな…,
3,1,3,7,5,6,4,5,6,6,リーダーサブリーダーはお任せしようかな,いいえ、どこでもいいよ,
4,1,4,5,5,3,3,6,3,6,リーダーサブリーダーはお任せしようかな,はい！！目のかんけいで…,
5,2,4,5,6,2,3,4,1,8,リーダーサブリーダーはお任せしようかな,はい！！目のかんけいで…,17
6,2,5,7,2,5,5,5,7,6,リーダーサブリーダーはお任せしようかな,はい！！目のかんけいで…,"16,14"
7,3,4,3,5,6,6,5,8,5,リーダーサブリーダーはお任せしようかな,はい！！目のかんけいで…,19
8,3,2,4,6,6,7,7,8,6,リーダーサブリーダーはお任せしようかな,あの、目のかんけいではないけど、できれば前がいいな…,
9,4,2,6,3,4,4,1,6,7,サブリーダーをがんばってみようかな,あの、目のかんけいではないけど、できれば前がいいな…,
10,5,0,5,4,3,3,2,3,5,サブリーダーをがんばってみようかな,あの、目のかんけいではないけど、できれば前がいいな…,
11,6,5,6,3,6,4,5,6,5,サブリーダーをがんばってみようかな,あの、目のかんけいではないけど、できれば前がいいな…,
12,4,7,5,6,6,7,7,7,8,サブリーダーをがんばってみようかな,あの、目のかんけいではないけど、できれば前がいいな…,
13,3,6,4,7,5,5,2,6,5,サブリーダーをがんばってみようかな,あの、目のかんけいではないけど、できれば前がいいな…,
14,4,3,3,2,1,3,2,3,3,サブリーダーをがんばってみようかな,いいえ、どこでもいいよ,
15,5,2,5,1,7,7,6,8,7,サブリーダーをがんばってみようかな,いいえ、どこでもいいよ,"5,7"
16,6,5,3,3,3,6,5,1,4,リーダーをがんばってみようかな,いいえ、どこでもいいよ,
17,5,3,1,0,0,0,2,0,0,リーダーをがんばってみようかな,いいえ、どこでもいいよ,
18,7,5,7,5,3,7,7,6,5,リーダーをがんばってみようかな,いいえ、どこでもいいよ,20
19,4,4,7,8,6,7,7,7,8,リーダーをがんばってみようかな,いいえ、どこでもいいよ,
20,1,3,6,3,6,4,6,6,6,リーダーをがんばってみようかな,いいえ、どこでもいいよ,
21,2,6,6,5,3,3,5,7,7,リーダーサブリーダーはお任せしようかな,いいえ、どこでもいいよ,
22,6,6,5,4,2,5,3,6,4,リーダーサブリーダーはお任せしようかな,いいえ、どこでもいいよ,
23,1,7,6,7,5,8,3,7,6,リーダーサブリーダーはお任せしようかな,いいえ、どこでもいいよ,"13,14"
24,7,2,3,1,2,3,4,4,4,リーダーサブリーダーはお任せしようかな,いいえ、どこでもいいよ,22
25,2,4,5,5,5,7,3,6,7,リーダーサブリーダーはお任せしようかな,いいえ、どこでもいいよ,
26,3,4,0,0,0,0,0,0,0,リーダーサブリーダーはお任せしようかな,いいえ、どこでもいいよ,5